"citbcmst"	"citbcmst.mixed"	"citbcmst.core"	"citbcmst.confidence"
"HdT_2148"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_2946"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_3276"	"basL"	"basL"	"basL"	"CORE"
"HdT_3886"	"basL"	"basL"	"basL"	"CORE"
"HdT_4204"	"basL"	"basL"	"basL"	"CORE"
"HdT_4503"	"lumB"	"lumB"	NA	"OUTLIER"
"HdT_4690"	"lumC"	"lumC"	"lumC"	"CORE"
"HdT_4711"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_5592"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_5666"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_5687"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_5690"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_5726"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_6003"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_6859"	"basL"	"basL"	"basL"	"CORE"
"HdT_6860"	"lumB"	"lumB"	NA	"OUTLIER"
"HdT_6866"	"basL"	"basL"	"basL"	"CORE"
"HdT_6868"	"mApo"	"mApo"	NA	"OUTLIER"
"HdT_6869"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_6871"	"basL"	"basL"	"basL"	"CORE"
"HdT_7115"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_7126"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_7127"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_7131"	"lumC"	"lumC"	"lumC"	"CORE"
"HdT_7133"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_7143"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_7149"	"basL"	"basL"	"basL"	"CORE"
"HdT_R1693C"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_R1789"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_R2594"	"lumC"	"lumC"	"lumC"	"CORE"
"HdT_R2975"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R3474"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R4117C"	"basL"	"basL"	"basL"	"CORE"
"HdT_R4325"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R4954"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R5059"	"lumC"	"lumC"	"lumC"	"CORE"
"HdT_R5664"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R5665"	"lumB"	"lumB"	"lumB"	"CORE"
"HdT_R5668"	"lumA"	"lumA"	"lumA"	"CORE"
"HdT_R5688"	"lumC"	"lumBC"	NA	"MIXED"
"HdT_R5723"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_R5731"	"lumA"	"lumA"	"lumA"	"CORE"
"HdT_R5734"	"mApo"	"mApo"	"mApo"	"CORE"
"HdT_R5737"	"lumC"	"lumC"	"lumC"	"CORE"
"HdT_R5738"	"basL"	"basL"	"basL"	"CORE"
"HdT_R5741"	"mApo"	"mApo"	"mApo"	"CORE"
